glohydrores_id,hybas_id,project_name,ibt_source,ibt_id,ibt_flow_direction,ibt_from,ibt_to,ibt_status,ibt_startyear,ibt_minflow,ibt_maxflow,ibt_meanflow,ibt_lengthoftransfer,ibt_link,ibt_comment
GHR04083,1112289270,Lesotho Highlands Water Project - Phase IB - West section,GlobalInterBasinHydrologicalDatabase,1006,Outflow,"Mohale Dam, Lesotho","Katse Dam, Lesotho",Completed,2002,,829440,,32,Hydropower supplies water to the project,https://en.wikipedia.org/wiki/Lesotho_Highlands_Water_Project
GHR04084,1111625730,Lesotho Highlands Water Project - Phase IA - South Section,GlobalInterBasinHydrologicalDatabase,1005,Inflow,"Katse Dam, Lesotho","Muela Dam, Lesotho",Completed,1998,,1552608,,45,Hydropower utilizes the water supplied by the IBT project,https://en.wikipedia.org/wiki/Lesotho_Highlands_Water_Project
GHR04192,1110118020,Oum Er-Rbia River,GlobalInterBasinHydrologicalDatabase,1001,Inflow/Outflow,Oum Er-Rbia River,"Casablanca, Settat and Berchid",Completed,1979,,328542.048,,,The reservoir stores water from one project and supplies it to another IBT project,https://environ.chemeng.ntua.gr/ineco/Default.aspx?t=341
GHR05504,1112286360,Tugela-Vaal - Phase I,GlobalInterBasinHydrologicalDatabase,1227,Inflow/Outflow,Tugela Basin,Vaal,Completed,1974,,355920.48,,,,https://en.wikipedia.org/wiki/Tugela_Vaal_Transfer_Scheme
GHR05518,1111636030,Orange River Project - d - Orange-Riet Canal,GlobalInterBasinHydrologicalDatabase,1225,Outflow,Orange River - Van der Kloof dam,Riet River near Jacobsdal,Completed,1987,,1382400,,112,Hydropower supplies water to the project,http://www.dwaf.gov.za/orange/Mid_Orange/orange-r.htm
GHR05507,1112292410,Orange River Project - d - Orange-Fish Tunnel,GlobalInterBasinHydrologicalDatabase,1223,Outflow,Orange River - Gariep Dam,Great Fish R. Basin,Completed,1975,,4665600,,82.45,Hydropower supplies water to the project,http://www.dwaf.gov.za/orange/Mid_Orange/orange-r.htm
GHR04200,1110115500,Oum Er-Rbia River,GlobalInterBasinHydrologicalDatabase,1001,Indirect,Oum Er-Rbia River,"Casablanca, Settat and Berchid",Completed,1979,,328542.048,,,"The upstream hydropower system is affected by the IBT project, so this one is likely impacted as well",
GHR04196,1110113250,Oum Er-Rbia River,GlobalInterBasinHydrologicalDatabase,1001,Indirect,Oum Er-Rbia River,"Casablanca, Settat and Berchid",Completed,1979,,328542.048,,,"The upstream hydropower system is affected by the IBT project, so this one is likely impacted as well",
GHR04208,1110110840,Oum Er-Rbia River,GlobalInterBasinHydrologicalDatabase,1001,Indirect,Oum Er-Rbia River,"Casablanca, Settat and Berchid",Completed,1979,,328542.048,,,"The upstream hydropower system is affected by the IBT project, so this one is likely impacted as well",
GHR02685,1110324470,New Valley Project,GlobalInterBasinHydrologicalDatabase,1004,Outflow,Lake Nasser,New Valley Project,Under Construction,2020,,15195.168,,310,"The hydropower system shares the reservoir with the New Valley Project, which supplies water for irrigation purposes",https://en.wikipedia.org/wiki/New_Valley_Project
GHR02682,1110322370,New Valley Project,GlobalInterBasinHydrologicalDatabase,1004,Outflow,Lake Nasser,New Valley Project,Under Construction,2020,,15195.168,,310,"The hydropower system shares the reservoir with the New Valley Project, which supplies water for irrigation purposes",https://en.wikipedia.org/wiki/New_Valley_Project
GHR02684,1111743940,New Valley Project,GlobalInterBasinHydrologicalDatabase,1004,Indirect,Lake Nasser,New Valley Project,Under Construction,2020,,15195.168,,310,"The upstream hydropower system is affected by the IBT project, so this one is likely impacted as well",
GHR02688,1110268290,New Valley Project,GlobalInterBasinHydrologicalDatabase,1004,Indirect,Lake Nasser,New Valley Project,Under Construction,2020,,15195.168,,310,"The upstream hydropower system is affected by the IBT project, so this one is likely impacted as well",
GHR01641,4110395970,East to West Transfer - Section 2,GlobalInterBasinHydrologicalDatabase,122,Inflow,Qinghe Reservoir,Baishi Reservoir,Proposed,2050,,958247.712,,,The reservoir receives water from the IBT project,
GHR01698,4110688280,South-North Transfer - Middle Route Scheme - Danjiangkou Reservoir to Beijing and Tianjin,GlobalInterBasinHydrologicalDatabase,27,Outflow,Danjiangkou Reservoir,Beijing region,Completed,2015,,35592480,,,"The reservoir receives water from another IBT project and supplies it to the Danjiangkou Reservoir, which provides water to Beijing and Tianjin",
GHR01884,4110408720,East to West Transfer - Section 1,GlobalInterBasinHydrologicalDatabase,121,Outflow,Huanren Reservoir,Qinghe Reservoir,Proposed,2050,,2737850.976,,,Hydropower and IBT project share reservoir,
GHR02329,4110739550,South-North Transfer - Middle Route Scheme - Three Gorges to Danjiangkou Reservoir,GlobalInterBasinHydrologicalDatabase,26,Outflow,Three Gorges Dam,Danjiangkou Reservoir,Completed,2015,,34560000,,,Hydropower and IBT project share reservoir,https://en.wikipedia.org/wiki/South%E2%80%93North_Water_Transfer_Project#Central_route
